"State","Total HFs","HFs Reported","Timeliness Wk Previous","Timeliness Wk Latest","Timeliness Change","Completeness Wk Previous","Completeness Wk Latest","Completeness Change","Overall Status","Timeliness_Change_Value","Completeness_Change_Value"
"South Sudan",1166,986,83,81,"▼ -2.4%",89,85,"▼ -4.5%","Target Met",-2.4,-4.5
"Lakes",114,114,100,100,"▬ 0.0%",100,100,"▬ 0.0%","Target Met",0,0
"NBGZ",81,71,88,88,"▬ 0.0%",89,88,"▼ -1.1%","Target Met",0,-1.1
"Unity",105,102,93,97,"▲ +4.3%",99,97,"▼ -2.0%","Target Met",4.3,-2
"WBGZ",90,83,89,92,"▲ +3.4%",89,92,"▲ +3.4%","Target Met",3.4,3.4
"WES",159,112,73,55,"▼ -24.7%",87,70,"▼ -19.5%","Well Below Target",-24.7,-19.5
"Jonglei",115,94,76,81,"▲ +6.6%",77,82,"▲ +6.5%","Target Met",6.6,6.5
"Warrap",90,86,93,91,"▼ -2.2%",98,96,"▼ -2.0%","Target Met",-2.2,-2
"EES",104,73,68,63,"▼ -7.4%",71,70,"▼ -1.4%","Below Target",-7.4,-1.4
"RAA",16,10,69,62,"▼ -10.1%",100,62,"▼ -38.0%","Below Target",-10.1,-38
"CES",119,107,95,90,"▼ -5.3%",97,90,"▼ -7.2%","Target Met",-5.3,-7.2
"AAA",21,19,81,90,"▲ +11.1%",95,90,"▼ -5.3%","Target Met",11.1,-5.3
"Upper Nile",137,101,69,72,"▲ +4.3%",83,74,"▼ -10.8%","Below Target",4.3,-10.8
"GPAA",15,14,100,93,"▼ -7.0%",100,93,"▼ -7.0%","Target Met",-7,-7
