"State","Timeliness_History","Completeness_History","Current_Timeliness","Current_Completeness","Current_Status","Priority","Row","Status_Colour","Priority_Colour"
"Upper Nile","0 of 6 years","2 of 6 years","62.2%","73.0%","Both Below Target","High Priority",13,"#F4CCCC","#F4CCCC"
"AAA","0 of 6 years","2 of 6 years","47.5%","59.8%","Both Below Target","High Priority",12,"#F4CCCC","#F4CCCC"
"Jonglei","2 of 6 years","3 of 6 years","67.7%","74.5%","Both Below Target","High Priority",11,"#F4CCCC","#F4CCCC"
"WBGZ","0 of 6 years","4 of 6 years","68.8%","86.6%","Timeliness Below","Moderate Priority",10,"#FFF2CC","#FCE5CD"
"RAA","0 of 6 years","4 of 6 years","53.5%","91.0%","Timeliness Below","Moderate Priority",9,"#FFF2CC","#FCE5CD"
"EES","1 of 6 years","4 of 6 years","64.6%","86.3%","Timeliness Below","Moderate Priority",8,"#FFF2CC","#FCE5CD"
"WES","3 of 6 years","5 of 6 years","69.1%","84.4%","Timeliness Below","Moderate Priority",7,"#FFF2CC","#FCE5CD"
"GPAA","3 of 6 years","3 of 6 years","95.1%","96.2%","Both Targets Met","Watch",6,"#D9EAD3","#FFF2CC"
"Unity","3 of 6 years","4 of 6 years","93.8%","98.0%","Both Targets Met","Watch",5,"#D9EAD3","#FFF2CC"
"NBGZ","3 of 6 years","5 of 6 years","89.0%","95.0%","Both Targets Met","Watch",4,"#D9EAD3","#FFF2CC"
"Warrap","3 of 6 years","5 of 6 years","81.5%","96.2%","Both Targets Met","Watch",3,"#D9EAD3","#FFF2CC"
"CES","4 of 6 years","5 of 6 years","84.5%","88.5%","Both Targets Met","Watch",2,"#D9EAD3","#FFF2CC"
"Lakes","5 of 6 years","5 of 6 years","96.0%","100.0%","Both Targets Met","Strong",1,"#D9EAD3","#D9EAD3"
