"State","Timeliness Wk 29","Timeliness Wk 30","Timeliness % Change","Timeliness Cumulative","Completeness Wk 29","Completeness Wk 30","Completeness % Change","Completeness Cumulative","Status","Timeliness_Change_Value","Completeness_Change_Value"
"South Sudan",83.4,81.3,"▼ -2.5%",76.2,89.2,84.6,"▼ -5.2%",87,"Target Met",-2.5,-5.2
"WES",73,55.3,"▼ -24.2%",69.1,87.4,70.4,"▼ -19.5%",84.4,"Both Below Target",-24.2,-19.5
"RAA",68.8,62.5,"▼ -9.2%",53.5,100,62.5,"▼ -37.5%",91,"Both Below Target",-9.2,-37.5
"EES",68.3,63.5,"▼ -7%",64.6,71.2,70.2,"▼ -1.4%",86.3,"Both Below Target",-7,-1.4
"Upper Nile",69.3,72.3,"▲ +4.3%",62.2,83.2,73.7,"▼ -11.4%",73,"Both Below Target",4.3,-11.4
"Jonglei",75.7,80.9,"▲ +6.9%",67.7,77.4,81.7,"▲ +5.6%",74.5,"Target Met",6.9,5.6
"NBGZ",87.7,87.7,"▬ 0.0%",89,88.9,87.7,"▼ -1.3%",95,"Target Met",0,-1.3
"CES",95,89.9,"▼ -5.4%",84.5,96.6,89.9,"▼ -6.9%",88.5,"Target Met",-5.4,-6.9
"AAA",81,90.5,"▲ +11.7%",47.5,95.2,90.5,"▼ -4.9%",59.8,"Target Met",11.7,-4.9
"Warrap",93.3,91.1,"▼ -2.4%",81.5,97.8,95.6,"▼ -2.2%",96.2,"Target Met",-2.4,-2.2
"WBGZ",88.9,92.2,"▲ +3.7%",68.8,88.9,92.2,"▲ +3.7%",86.6,"Target Met",3.7,3.7
"GPAA",100,93.3,"▼ -6.7%",95.1,100,93.3,"▼ -6.7%",96.2,"Target Met",-6.7,-6.7
"Unity",93.3,97.1,"▲ +4.1%",93.8,99,97.1,"▼ -1.9%",98,"Target Met",4.1,-1.9
"Lakes",100,100,"▬ 0.0%",96,100,100,"▬ 0.0%",100,"Target Met",0,0
